사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2024-02,2호선,0235,문래,26,6,3594,2188,12140,9464,39187,32409,45034,124345,24725,60710,18337,24718,19198,22183,23939,23906,24996,25158,24979,24249,27786,25304,33472,28968,57271,37723,103560,56090,39269,39458,27030,21106,28991,18483,22349,16417,10799,9845,1809,3394,15,110,0,0,0,0
2024-02,2호선,0236,영등포구청,24,2,4726,3062,11205,13019,35518,33887,44047,111625,27938,48329,20946,25354,23015,22948,25358,24889,26782,27020,29004,26118,30084,26250,36307,29434,53233,36002,93415,53103,35064,35967,27236,21900,25473,19507,18855,17098,8683,11437,1503,4235,12,133,0,0,0,0
2024-02,2호선,0237,당산,33,1,5801,2845,14056,10503,37982,22507,48632,66133,29397,29941,21214,16064,20830,15806,22354,17477,21805,19760,20652,19816,21670,22618,24952,28464,36352,41407,50877,63577,22539,44521,17943,29306,16993,28463,14783,25548,7563,17057,1111,4262,17,157,0,0,0,0
2024-02,2호선,0238,합정,91,11,8992,2319,16135,11762,37897,27541,48404,85038,33263,77231,24828,48525,27511,47842,33765,51254,37756,58180,41842,53267,47083,54463,54623,62439,73958,80163,106865,106637,73174,74585,61244,41634,69734,32367,64059,28624,33322,19765,5528,7358,68,287,0,0,0,0
2024-02,2호선,0239,홍대입구,992,18,25339,3218,28403,14739,55435,33641,70249,94230,53606,113939,48989,101494,57385,128952,67292,158966,78952,170872,92635,166055,114685,165787,143454,172201,172052,188808,203352,217786,172408,161129,169376,94877,193336,74860,182632,60558,93012,42955,11562,15952,154,1885,0,8,0,0
2024-02,2호선,0240,신촌,65,3,5976,2659,12761,13232,33161,29674,47045,66658,34589,85193,34242,61359,41311,56427,52786,59893,56688,68695,59045,60346,66693,57706,74898,62500,88011,78648,87923,100252,63142,71208,65014,42028,67458,35986,65958,31957,32222,21513,4922,5846,46,150,0,0,0,0
2024-02,2호선,0241,이대,38,0,3230,789,8119,5489,25308,9592,33547,31509,21308,30160,17026,23481,18551,20949,23930,22892,22587,26594,22013,23639,24995,23868,28649,25120,36976,30614,33003,41336,21095,31454,16172,21167,15994,19964,13480,19849,5108,14231,733,3961,7,97,0,0,0,0
2024-02,2호선,0242,아현,11,0,4196,639,9412,3637,26738,7611,38282,14951,22187,11877,16204,9770,15364,9564,16394,10490,15651,12241,14153,13176,15068,15160,16188,17117,17800,22462,17879,30937,11165,23835,8346,16078,6145,15205,4262,13927,1992,8591,344,2453,3,55,0,0,0,0
2024-02,2호선,0243,충정로(경기대입구),36,0,2865,904,6103,5488,14091,21235,20084,56948,13552,26061,10689,11946,11386,9754,12193,10391,12603,12437,12738,11493,13410,11154,15551,12390,29329,15249,43909,20437,14787,14695,10222,10227,9291,9682,6499,8700,2953,5842,665,1765,14,71,0,0,0,0
2024-02,2호선,0244,용답,0,0,1777,277,2614,881,6596,1502,12655,2966,7017,2018,4727,1887,4064,2486,4331,2647,4257,3029,3961,3500,3784,4197,4148,5391,4246,6143,3719,10345,2181,6844,1586,5071,1137,5321,854,4666,458,2933,83,949,0,10,0,0,0,0
2024-02,2호선,0245,신답,16,0,924,118,1558,672,5133,698,10189,1563,4256,913,2408,908,1940,1096,1993,1369,2132,1492,1789,1708,1783,2489,1880,3302,2035,4199,1906,8922,1006,5944,603,3158,415,3390,375,2617,140,1765,29,465,1,5,0,0,0,0
2024-02,2호선,0246,신설동,42,4,975,245,1276,1770,4268,4703,7287,12251,4555,8301,4051,7191,4902,7031,6274,6959,6710,7088,7929,6115,8579,5454,9103,4913,10736,5047,12103,6396,4403,4971,3015,3496,2428,3103,1672,2743,574,1929,107,703,0,127,0,0,0,0
2024-02,2호선,0247,도림천,0,0,476,373,1086,658,2696,2412,3322,4752,1999,1753,2009,1225,1572,1210,2331,1794,1784,1454,1916,1851,1776,1640,2332,2202,2726,2396,3234,3104,1610,2530,849,1771,798,1532,396,1218,174,967,62,337,0,9,0,0,0,0
2024-02,2호선,0248,양천구청,17,0,4306,953,9748,1958,27829,3828,26444,8429,15991,4725,11163,4523,10282,5064,10832,6604,9633,7523,8064,8242,7566,10379,8045,12824,8713,17507,8669,26695,3912,22826,2752,12868,2252,12572,2037,10707,826,7651,152,2448,1,36,0,0,0,0
2024-02,2호선,0249,신정네거리,68,1,7650,928,15129,2564,43697,3649,40135,9877,21926,7679,16362,6903,14789,8316,15921,9743,14341,11421,12776,12267,11674,16138,12345,20673,12346,28056,11261,43723,7229,33798,5299,19303,4688,17413,3482,15566,1569,10139,292,2924,1,157,0,0,0,0
2024-02,2호선,0250,용두(동대문구청),34,0,1138,113,1548,840,4764,2256,8447,4891,4460,3135,3410,3245,3988,3426,3944,3410,3985,4307,4327,4282,4582,4653,4912,4312,4719,4741,5249,7901,2424,5405,1767,3068,1486,2962,806,2109,377,1446,60,468,0,5,0,0,0,0
2024-02,3호선,0309,지축,1,0,2712,576,9386,5619,26171,4908,26117,8324,14730,5900,10317,5277,9342,5399,9954,6861,9610,7793,8983,7715,9407,9460,9855,11477,11529,16064,8990,24849,5719,20857,4761,13535,4175,12252,3114,10227,1553,5899,239,1004,0,21,0,0,0,0
2024-02,3호선,0310,구파발,99,0,9951,1310,29589,8782,74937,16607,73829,23920,41413,24118,30450,25212,29589,24418,31356,25816,30201,28673,30513,30209,32965,30505,35435,35301,35721,44390,29426,67175,19087,59497,16070,33151,13866,29659,10988,26844,3084,18295,548,7755,0,286,0,0,0,0
2024-02,3호선,0311,연신내,191,16,21710,1551,41548,10050,104014,14981,126328,30171,74639,31033,51696,31270,50752,33149,55452,36930,51813,41260,47948,44068,48463,53857,49216,61537,47760,76869,43737,116665,30143,98983,25395,60254,22839,53810,18827,47636,9394,30401,1459,10276,8,83,0,0,0,0
2024-02,3호선,0312,불광,57,3,8368,937,16404,4479,45740,8994,56018,26350,34100,23945,24775,21743,23106,22273,24489,23704,25080,26896,24806,27652,26303,29861,27024,33035,26357,38040,27160,55429,15991,43472,12995,26641,10722,23514,7406,20223,3223,12590,503,4143,3,30,0,0,0,0
2024-02,3호선,0313,녹번,48,0,8428,508,21880,2965,62121,6588,68918,14880,39504,9382,26190,8993,21657,9449,21307,11642,19410,13084,16932,15302,15890,19386,16281,24242,16178,33156,18471,54732,9507,47823,7199,27859,5582,25498,4005,22066,1574,13476,215,3716,1,12,2,3,0,0
2024-02,3호선,0314,홍제,85,4,8799,1178,20930,5660,56513,8700,63197,20600,41518,17347,29778,16906,27531,16510,30485,18906,27300,21467,25482,23578,25343,28276,26522,32559,26000,40132,25025,56337,14209,49414,11586,29552,9089,26204,6410,23764,2580,14187,413,3599,0,22,0,0,0,0
2024-02,3호선,0315,무악재,17,2,1818,133,4952,1257,14463,2491,18626,4669,11150,3089,8052,3324,6948,3552,6651,4306,6241,4576,5273,5203,5153,6724,5354,7946,5707,10018,6364,15101,3226,13943,2438,8565,1774,7526,1326,6548,713,4623,80,1220,1,4,2,2,0,0
2024-02,3호선,0316,독립문,168,4,4412,796,5518,4792,12814,11289,17000,18341,13870,14737,11990,15118,11985,11169,14112,11373,13717,12260,13812,11579,15402,11465,15579,12089,15103,12779,14800,14626,6936,12768,5281,8668,4246,7850,2934,6838,1072,4294,151,1880,2,543,0,0,0,0
2024-02,3호선,0317,경복궁(정부서울청사),37,0,2012,1187,5001,11790,11595,32813,18168,112928,17493,65848,16979,50521,21647,52222,27577,50148,34910,52525,44208,43153,53095,36297,64127,31152,79223,29041,102558,29008,43555,20105,34755,11513,33750,9647,21541,8926,8224,5035,982,1383,4,76,0,0,0,0
2024-02,3호선,0318,안국,12,1,1368,1706,2492,20298,5050,76121,8649,107184,11754,74378,14719,55629,21566,59052,29767,53158,35031,50803,45145,45226,55932,36202,72682,32243,111492,27047,112463,22641,51099,12282,39659,6449,33647,5498,17963,4687,5688,2629,646,894,0,5,0,0,0,0
2024-02,3호선,0319,종로3가,12,1,759,900,1254,5257,1794,14220,2920,39942,4623,39698,6857,32493,9842,27510,11396,25576,12630,24104,16457,22178,20178,20105,24673,19037,34823,18330,50192,18130,27953,10590,18627,6014,20104,4597,16409,3597,7682,2231,834,945,5,18,0,1,0,0
2024-02,3호선,0320,을지로3가,15,1,672,1028,1429,7965,3425,31807,5759,75355,7505,29985,8850,14526,9838,13643,10480,13050,12248,14156,14620,13217,16902,13163,20376,14821,41047,17773,64475,20846,26581,12928,19229,6571,19330,5094,15959,3751,8871,2374,1302,693,8,3,0,0,0,0
2024-02,3호선,0321,충무로,0,0,0,0,0,0,0,0,1,0,2,0,5,0,13,0,10,0,12,0,13,0,6,0,15,0,13,0,19,0,18,0,11,0,8,0,8,0,8,0,6,0,0,0,0,0,0,0
2024-02,3호선,0322,동대입구,16,1,1485,867,2159,7410,4448,13237,7194,43360,6298,29416,6210,24788,8786,16888,9618,17184,14146,19817,13975,13719,15503,13186,21128,12370,29910,15806,38134,19043,16483,9772,19803,5516,15191,4939,14298,3950,3083,2370,365,883,4,71,0,0,0,0
2024-02,3호선,0323,약수,108,0,5656,899,9197,5059,21254,10119,33118,29009,24572,19858,17844,14366,17117,15027,18795,14925,19381,15854,18588,17300,19005,19168,20205,22172,24973,26980,29647,37687,17479,25907,14894,17329,14144,14907,10622,13447,5038,7946,798,3091,1,411,0,0,0,0
2024-02,3호선,0324,금호,25,8,3536,393,8969,2535,22666,3913,33437,8555,21343,7084,14073,6332,12870,7008,12902,7974,12331,9698,10418,10616,10064,12632,10723,14578,11338,19402,11111,27682,7702,20166,5372,13552,4045,12050,3143,11146,1457,6245,255,1791,3,15,0,0,0,0
2024-02,3호선,0325,옥수,123,2,2687,776,7660,4168,18652,6416,28024,11506,19501,9847,14280,8028,13367,9507,13390,10715,13832,11920,13190,12850,13531,14651,14187,17079,15633,23158,15354,30211,10101,23064,8333,15278,7510,13427,4962,12598,1987,6410,331,1698,2,6,0,1,0,0
2024-02,3호선,0326,압구정,70,0,2587,1899,7066,20592,13628,42436,21445,127529,18562,142185,24038,75488,30005,61760,36897,51897,41289,53750,50896,49281,59084,46999,68311,46669,90937,53168,124064,55696,88525,30957,67993,15690,50592,12625,34218,10346,11236,5365,1653,1882,0,207,0,0,0,0
2024-02,3호선,0327,신사,42,4,3389,1480,6196,14839,9928,37567,14947,93849,14063,124037,17905,63273,22691,44509,27171,42071,31457,45035,39326,42874,47254,38551,55385,41036,81083,50574,113684,59927,81751,32750,55759,16443,57706,12734,46844,10670,21540,6803,3212,3252,7,42,0,0,0,0
